Subfamily;Tribe;Genus;Species;Sex;Abundance;SU;Strata;Trap;Date;Month;CMR;Obs;Lep
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Canopy;Can4;12/13/16;December;69;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can4;12/13/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can5;12/13/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can5;12/13/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF3;Understory;Und1;12/13/16;December;70;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;F;1;NF3;Canopy;Can1;12/13/16;December;71;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;M;1;NF3;Understory;Und2;12/13/16;December;71;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;M;1;NF3;Canopy;Can2;12/13/16;December;;Voucher;181
Satyrinae;Satyrini;Carminda;Carminda_paeon;NA;1;NF3;Canopy;Can2;12/13/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF3;Canopy;Can3;12/13/16;December;;Dead;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;NA;1;NF3;Understory;Und1;12/13/16;December;;Next_trap;
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;F;1;NF3;Understory;Und1;12/13/16;December;;Next_trap;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF6;Canopy;Can1;12/14/16;December;;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF6;Canopy;Can1;12/14/16;December;72;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;F;1;NF6;Understory;Und2;12/14/16;December;;Voucher;201
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;M;1;NF6;Understory;Und2;12/14/16;December;73;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_pronophila;F;1;NF6;Canopy;Can2;12/14/16;December;;Voucher;218
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;NA;1;NF6;Understory;Und4;12/14/16;December;;Scape;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;M;1;NF6;Understory;Und4;12/14/16;December;74;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF6;Canopy;Can4;12/14/16;December;75;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF6;Canopy;Can4;12/14/16;December;76;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF6;Canopy;Can4;12/14/16;December;77;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF6;Canopy;Can5;12/14/16;December;78;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF6;Canopy;Can5;12/14/16;December;79;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF6;Canopy;Can5;12/14/16;December;80;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF5;Canopy;Can1;12/14/16;December;;Voucher;246
Satyrinae;Satyrini;Carminda;Carminda_paeon;NA;1;NF5;Canopy;Can1;12/14/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF5;Canopy;Can2;12/14/16;December;81;;
Charaxinae;Anaeini;Memphis;Memphis_moruus;M;1;NF5;Canopy;Can3;12/14/16;December;;Voucher;198
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;M;1;NF5;Understory;Und3;12/14/16;December;;Voucher;SEM LEP
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF5;Canopy;Can3;12/14/16;December;82;;
Satyrinae;Satyrini;Euptychoides;Euptychoides_castrensis;NA;1;NF4;Canopy;Can1;12/14/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can1;12/15/16;December;83;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can2;12/15/16;December;84;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can2;12/15/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Understory;Und3;12/15/16;December;85;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can5;12/15/16;December;86;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can3;12/15/16;December;87;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Canopy;Can3;12/15/16;December;88;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Canopy;Can4;12/15/16;December;89;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can4;12/15/16;December;90;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Canopy;Can4;12/15/16;December;91;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can4;12/15/16;December;92;;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_amphimachus;M;1;NF2;Understory;Und4;12/15/16;December;93;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can5;12/15/16;December;94;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Canopy;Can5;12/15/16;December;95;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can5;12/15/16;December;96;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can5;12/15/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF2;Canopy;Can5;12/15/16;December;97;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;M;1;NF3;Understory;Und1;12/15/16;December;98;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF3;Understory;Und1;12/15/16;December;99;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF3;Canopy;Can1;12/15/16;December;100;;
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;M;1;NF3;Understory;Und2;12/15/16;December;;Voucher;176
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;M;1;NF3;Understory;Und2;12/15/16;December;;Voucher;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF6;Understory;Und1;12/16/16;December;101;;
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;M;1;NF6;Understory;Und2;12/16/16;December;;Voucher;175
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF6;Canopy;Can3;12/16/16;December;102;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF6;Canopy;Can3;12/16/16;December;103;;
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;M;1;NF6;Understory;Und4;12/16/16;December;104;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF6;Canopy;Can4;12/16/16;December;105;;
Biblidinae;Epiphilini;Epiphile;Epiphile_orea;M;1;NF6;Canopy;Can5;12/16/16;December;;Voucher;245
Satyrinae;Satyrini;Praepedaliodes;Praepedaliodes_phanias;F;1;NF5;Understory;Und1;12/16/16;December;;Voucher;220
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF5;Understory;Und2;12/16/16;December;106;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF5;Canopy;Can4;12/16/16;December;107;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF5;Understory;Und5;12/16/16;December;108;;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_amphimachus;M;1;NF4;Canopy;Can1;12/16/16;December;;Voucher;254
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can1;12/17/16;December;109;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Understory;Und3;12/17/16;December;110;;
Satyrinae;Brassolini;Narope;Narope_cyllastros;F;1;NF1;Understory;Und5;12/17/16;December;;Voucher;169
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Canopy;Can4;12/17/16;December;111;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Understory;Und4;12/17/16;December;112;;
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;F;1;NF3;Understory;Und2;12/17/16;December;113;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF3;Canopy;Can5;12/17/16;December;114;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF6;Understory;Und1;12/18/16;December;;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF6;Canopy;Can2;12/18/16;December;;Dead;
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;F;1;NF6;Understory;Und3;12/18/16;December;115;;
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;F;1;NF6;Understory;Und3;12/18/16;December;116;;
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;F;1;NF6;Understory;Und3;12/18/16;December;117;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;F;1;NF6;Understory;Und3;12/18/16;December;;;
Satyrinae;Brassolini;Narope;Narope_cyllastros;F;1;NF6;Understory;Und4;12/18/16;December;;Voucher;180
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF6;Canopy;Can4;12/18/16;December;;Dead;
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;F;1;NF6;Understory;Und5;12/18/16;December;118;;
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;M;1;NF6;Understory;Und5;12/18/16;December;119;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF5;Canopy;Can2;12/18/16;December;;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF5;Canopy;Can2;12/18/16;December;;;
Charaxinae;Anaeini;Zaretis;Zaretis_strigosus;M;1;NF5;Canopy;Can3;12/18/16;December;;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF5;Canopy;Can3;12/18/16;December;;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF5;Canopy;Can3;12/18/16;December;;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF5;Canopy;Can3;12/18/16;December;;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;NA;1;NF5;Canopy;Can3;12/18/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;NA;1;NF5;Canopy;Can4;12/18/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;NA;1;NF4;Canopy;Can3;12/18/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;NA;1;NF4;Canopy;Can3;12/18/16;December;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF4;Canopy;Can4;12/18/16;December;;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF4;Canopy;Can4;12/18/16;December;;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF4;Canopy;Can4;12/18/16;December;;;
Biblidinae;Epiphilini;Epiphile;Epiphile_orea;F;1;NF4;Canopy;Can5;12/18/16;December;;Voucher;163
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;F;1;NF6;Understory;Und1;01/19/17;January;;Voucher;264
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;F;1;NF6;Understory;Und1;01/19/17;January;;Voucher;421
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;M;1;NF6;Understory;Und3;01/19/17;January;;Voucher;265
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;M;1;NF6;Understory;Und3;01/19/17;January;;Voucher;276
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;M;1;NF6;Understory;Und3;01/19/17;January;;Voucher;260
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;F;1;NF6;Understory;Und3;01/19/17;January;;Voucher;268
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;F;1;NF6;Understory;Und3;01/19/17;January;120;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;M;1;NF6;Understory;Und4;01/19/17;January;121;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;M;1;NF6;Understory;Und5;01/19/17;January;122;;
Satyrinae;Brassolini;Opoptera;Opoptera_fruhstorferi;F;1;NF6;Understory;Und5;01/19/17;January;;Voucher;267
Satyrinae;Brassolini;Opoptera;Opoptera_fruhstorferi;F;1;NF6;Understory;Und4;01/19/17;January;;Voucher;275
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF5;Canopy;Can2;01/19/17;January;123;;
Biblidinae;Epiphilini;Epiphile;Epiphile_hubneri;M;1;NF5;Canopy;Can3;01/19/17;January;;Voucher;272
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;F;1;NF5;Canopy;Can4;01/19/17;January;124;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;NA;1;NF4;Understory;Und2;01/19/17;January;;Next_trap;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF4;Canopy;Can3;01/19/17;January;125;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can1;01/20/17;January;126;;
Satyrinae;Satyrini;Hermeuptychia;Hermeuptychia_sp;NA;1;NF1;Understory;Und2;01/20/17;January;;Voucher;269
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can2;01/20/17;January;127;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can3;01/20/17;January;128;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can5;01/20/17;January;129;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can5;01/20/17;January;130;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Canopy;Can5;01/20/17;January;131;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;F;1;NF3;Understory;Und1;01/20/17;January;132;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;F;1;NF3;Understory;Und1;01/20/17;January;133;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;M;1;NF3;Understory;Und1;01/20/17;January;;Voucher;266
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;F;1;NF3;Understory;Und1;01/20/17;January;;Voucher;263
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_pronophila;F;1;NF3;Understory;Und1;01/20/17;January;;Voucher;274
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;M;1;NF3;Understory;Und2;01/20/17;January;134;;
Satyrinae;Brassolini;Opoptera;Opoptera_fruhstorferi;NA;1;NF3;Understory;Und2;01/20/17;January;;Next_trap;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;NA;1;NF3;Understory;Und2;01/20/17;January;;Next_trap;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;F;1;NF3;Understory;Und3;01/20/17;January;135;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;M;1;NF3;Understory;Und3;01/20/17;January;136;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;F;1;NF3;Understory;Und4;01/20/17;January;137;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;M;1;NF3;Understory;Und4;01/20/17;January;138;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;F;1;NF3;Understory;Und5;01/20/17;January;139;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;M;1;NF3;Understory;Und5;01/20/17;January;;Voucher;350
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;M;1;NF3;Canopy;Can5;01/20/17;January;;Dead;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;M;1;NF6;Understory;Und1;01/21/17;January;140;;
Satyrinae;Brassolini;Opoptera;Opoptera_fruhstorferi;M;1;NF6;Understory;Und1;01/21/17;January;;Voucher;283
Satyrinae;Brassolini;Opoptera;Opoptera_fruhstorferi;M;1;NF6;Understory;Und3;01/21/17;January;141;;
Satyrinae;Brassolini;Opoptera;Opoptera_fruhstorferi;NA;1;NF6;Understory;Und3;01/21/17;January;;Scape;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;F;1;NF6;Understory;Und3;01/21/17;January;;Voucher;285
Satyrinae;Brassolini;Opoptera;Opoptera_fruhstorferi;M;1;NF6;Understory;Und3;01/21/17;January;142;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;F;1;NF6;Understory;Und3;01/21/17;January;143;;
Satyrinae;Brassolini;Opoptera;Opoptera_fruhstorferi;M;1;NF6;Understory;Und3;01/21/17;January;144;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;F;1;NF6;Canopy;Can3;01/21/17;January;;Dead;
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;F;1;NF6;Understory;Und4;01/21/17;January;145;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;F;1;NF6;Understory;Und4;01/21/17;January;146;;
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;F;1;NF6;Understory;Und5;01/21/17;January;147;;
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;F;1;NF6;Understory;Und5;01/21/17;January;148;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF6;Canopy;Can5;01/21/17;January;149;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;F;1;NF6;Canopy;Can5;01/21/17;January;;Voucher;344
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF6;Canopy;Can5;01/21/17;January;150;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;F;1;NF5;Understory;Und3;01/21/17;January;151;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;NA;1;NF5;Canopy;Can3;01/21/17;January;;Dead;
Biblidinae;Epiphilini;Epiphile;Epiphile_hubneri;M;1;NF5;Canopy;Can4;01/21/17;January;;Voucher;279
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF4;Canopy;Can1;01/21/17;January;152;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF4;Canopy;Can2;01/21/17;January;153;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF4;Canopy;Can2;01/21/17;January;154;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;F;1;NF4;Understory;Und5;01/21/17;January;155;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can2;01/22/17;January;156;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can3;01/22/17;January;157;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF1;Canopy;Can5;01/22/17;January;158;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can5;01/22/17;January;159;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF1;Canopy;Can5;01/22/17;January;;Dead;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Canopy;Can5;01/22/17;January;160;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;F;1;NF3;Understory;Und1;01/22/17;January;161;;
Satyrinae;Brassolini;Opoptera;Opoptera_fruhstorferi;NA;1;NF3;Understory;Und1;01/22/17;January;;Next_trap;
Satyrinae;Brassolini;Opoptera;Opoptera_fruhstorferi;NA;1;NF3;Understory;Und1;01/22/17;January;;Next_trap;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;M;1;NF3;Understory;Und1;01/22/17;January;162;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;F;1;NF3;Canopy;Can1;01/22/17;January;163;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;M;1;NF3;Understory;Und2;01/22/17;January;164;;
Biblidinae;Epiphilini;Epiphile;Epiphile_hubneri;M;1;NF3;Canopy;Can2;01/22/17;January;;Voucher;271
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;M;1;NF6;Understory;Und1;01/23/17;January;165;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;F;1;NF6;Understory;Und1;01/23/17;January;166;;
Satyrinae;Brassolini;Opoptera;Opoptera_fruhstorferi;M;1;NF6;Understory;Und3;01/23/17;January;167;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;M;1;NF6;Understory;Und3;01/23/17;January;168;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;M;1;NF6;Understory;Und3;01/23/17;January;169;;
Satyrinae;Brassolini;Opoptera;Opoptera_fruhstorferi;F;1;NF6;Understory;Und4;01/23/17;January;170;;
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;F;1;NF6;Understory;Und5;01/23/17;January;;Dead;
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;M;1;NF6;Understory;Und5;01/23/17;January;171;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;F;1;NF6;Understory;Und5;01/23/17;January;172;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;F;1;NF6;Understory;Und5;01/23/17;January;173;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;NA;1;NF5;Canopy;Can3;01/23/17;January;;Dead;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;M;1;NF5;Understory;Und4;01/23/17;January;174;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_pronophila;M;1;NF5;Canopy;Can4;01/23/17;January;175;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_pronophila;F;1;NF5;Canopy;Can4;01/23/17;January;;Dead;
