"","Archaeoprepona_amphimachus","Archaeoprepona_chalciope","Archaeoprepona_demophon","Archaeoprepona_demophoon","Blepolenis_batea","Caligo_martia","Carminda_griseldis","Carminda_paeon","Catoblepia_amphirhoe","Diaethria_candrena","Diaethria_clymena","Epiphile_hubneri","Epiphile_orea","Eryphanis_reevesii","Eteona_tisiphone","Euptychoides_castrensis","Forsterinaria_necys","Forsterinaria_pronophila","Forsterinaria_quantius","Hamadryas_epinome","Hermeuptychia_sp","Memphis_hirta","Memphis_moruus","Morpho_epistrophus","Morpho_portis","Narope_cyllastros","Opoptera_fruhstorferi","Opsiphanes_quiteria","Paryphthimoides_grimon","Praepedaliodes_phanias","Prepona_pylene","Smyrna_blomfildia","Taygetis_ypthima","Temenis_laothoe","Zaretis_strigosus"
"CNF1D",0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNF1F",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CNF1J",1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNF1M",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CNF1N",0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNF2D",0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNF2F",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
"CNF2J",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNF2M",4,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"CNF2N",0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
"CNF3D",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CNF3F",0,1,0,0,0,0,0,0,1,0,0,3,1,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3
"CNF3J",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CNF3M",2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"CNF3N",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CNF4D",2,0,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNF4F",0,0,0,0,0,0,0,2,0,1,0,2,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
"CNF4J",0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNF4M",2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CNF4N",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2
"CNF5D",0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"CNF5F",0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3
"CNF5J",0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNF5M",4,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0
"CNF5N",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CNF6D",0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CNF6F",0,1,0,0,0,0,0,0,0,1,0,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1
"CNF6J",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CNF6M",0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"CNF6N",1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"UNF1D",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"UNF1F",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0
"UNF1J",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UNF1M",3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"UNF1N",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UNF2D",1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UNF2F",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0
"UNF2J",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UNF2M",1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
"UNF3D",0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"UNF3F",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,6,0,0,0,0,7,1,0,8,0,0,0,0,0,13,0,0
"UNF3J",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,6,0,0,0,0,0,0,0,5,0,0,0,0,0,20,0,0
"UNF3M",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0
"UNF3N",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"UNF4F",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,8,0,0
"UNF4J",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"UNF4M",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,13,0,0
"UNF4N",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UNF5D",0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"UNF5F",0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,20,0,0,5,0,0,0,0,0,2,0,0
"UNF5J",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"UNF5M",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
"UNF5N",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"UNF6D",0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"UNF6F",0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,14,1,42,0,0,0,0,2,2,0,18,0,0,0,0,0,16,0,0
"UNF6J",0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,7,0,0,0,0,0,1,0,14,0,0,0,0,0,16,0,0
"UNF6M",0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"UNF6N",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
